region_idx,region_name,hemisphere,network,major_network,is_cortical,atlas
38,7Networks_LH_SomMot_3,Left,SomMot,Somatomotor,True,Schaefer200
39,7Networks_LH_SomMot_4,Left,SomMot,Somatomotor,True,Schaefer200
40,7Networks_LH_SomMot_5,Left,SomMot,Somatomotor,True,Schaefer200
41,7Networks_LH_SomMot_6,Left,SomMot,Somatomotor,True,Schaefer200
42,7Networks_LH_SomMot_7,Left,SomMot,Somatomotor,True,Schaefer200
43,7Networks_LH_SomMot_8,Left,SomMot,Somatomotor,True,Schaefer200
44,7Networks_LH_SomMot_9,Left,SomMot,Somatomotor,True,Schaefer200
45,7Networks_LH_SomMot_10,Left,SomMot,Somatomotor,True,Schaefer200
46,7Networks_LH_SomMot_11,Left,SomMot,Somatomotor,True,Schaefer200
47,7Networks_LH_SomMot_12,Left,SomMot,Somatomotor,True,Schaefer200
48,7Networks_LH_SomMot_13,Left,SomMot,Somatomotor,True,Schaefer200
49,7Networks_LH_SomMot_14,Left,SomMot,Somatomotor,True,Schaefer200
50,7Networks_LH_SomMot_15,Left,SomMot,Somatomotor,True,Schaefer200
51,7Networks_LH_SomMot_16,Left,SomMot,Somatomotor,True,Schaefer200
52,7Networks_LH_SomMot_17,Left,SomMot,Somatomotor,True,Schaefer200
53,7Networks_LH_SomMot_18,Left,SomMot,Somatomotor,True,Schaefer200
54,7Networks_LH_SomMot_19,Left,SomMot,Somatomotor,True,Schaefer200
55,7Networks_LH_SomMot_20,Left,SomMot,Somatomotor,True,Schaefer200
56,7Networks_RH_SomMot_1,Right,SomMot,Somatomotor,True,Schaefer200
57,7Networks_RH_SomMot_2,Right,SomMot,Somatomotor,True,Schaefer200
58,7Networks_RH_SomMot_3,Right,SomMot,Somatomotor,True,Schaefer200
59,7Networks_RH_SomMot_4,Right,SomMot,Somatomotor,True,Schaefer200
60,7Networks_RH_SomMot_5,Right,SomMot,Somatomotor,True,Schaefer200
61,7Networks_RH_SomMot_6,Right,SomMot,Somatomotor,True,Schaefer200
62,7Networks_RH_SomMot_7,Right,SomMot,Somatomotor,True,Schaefer200
63,7Networks_RH_SomMot_8,Right,SomMot,Somatomotor,True,Schaefer200
64,7Networks_RH_SomMot_9,Right,SomMot,Somatomotor,True,Schaefer200
65,7Networks_RH_SomMot_10,Right,SomMot,Somatomotor,True,Schaefer200
66,7Networks_RH_SomMot_11,Right,SomMot,Somatomotor,True,Schaefer200
67,7Networks_RH_SomMot_12,Right,SomMot,Somatomotor,True,Schaefer200
68,7Networks_RH_SomMot_13,Right,SomMot,Somatomotor,True,Schaefer200
69,7Networks_RH_SomMot_14,Right,SomMot,Somatomotor,True,Schaefer200
70,7Networks_RH_SomMot_15,Right,SomMot,Somatomotor,True,Schaefer200
71,7Networks_RH_SomMot_16,Right,SomMot,Somatomotor,True,Schaefer200
72,7Networks_RH_SomMot_17,Right,SomMot,Somatomotor,True,Schaefer200
73,7Networks_RH_SomMot_18,Right,SomMot,Somatomotor,True,Schaefer200
74,7Networks_RH_SomMot_19,Right,SomMot,Somatomotor,True,Schaefer200
75,7Networks_RH_SomMot_20,Right,SomMot,Somatomotor,True,Schaefer200
76,7Networks_LH_DorsAttn_1,Left,DorsAttn,Dorsal Attention,True,Schaefer200
77,7Networks_LH_DorsAttn_2,Left,DorsAttn,Dorsal Attention,True,Schaefer200
78,7Networks_LH_DorsAttn_3,Left,DorsAttn,Dorsal Attention,True,Schaefer200
79,7Networks_LH_DorsAttn_4,Left,DorsAttn,Dorsal Attention,True,Schaefer200
80,7Networks_LH_DorsAttn_5,Left,DorsAttn,Dorsal Attention,True,Schaefer200
81,7Networks_LH_DorsAttn_6,Left,DorsAttn,Dorsal Attention,True,Schaefer200
82,7Networks_LH_DorsAttn_7,Left,DorsAttn,Dorsal Attention,True,Schaefer200
83,7Networks_LH_DorsAttn_8,Left,DorsAttn,Dorsal Attention,True,Schaefer200
84,7Networks_LH_DorsAttn_9,Left,DorsAttn,Dorsal Attention,True,Schaefer200
85,7Networks_LH_DorsAttn_10,Left,DorsAttn,Dorsal Attention,True,Schaefer200
86,7Networks_LH_DorsAttn_11,Left,DorsAttn,Dorsal Attention,True,Schaefer200
87,7Networks_LH_DorsAttn_12,Left,DorsAttn,Dorsal Attention,True,Schaefer200
88,7Networks_RH_DorsAttn_1,Right,DorsAttn,Dorsal Attention,True,Schaefer200
89,7Networks_RH_DorsAttn_2,Right,DorsAttn,Dorsal Attention,True,Schaefer200
90,7Networks_RH_DorsAttn_3,Right,DorsAttn,Dorsal Attention,True,Schaefer200
91,7Networks_RH_DorsAttn_4,Right,DorsAttn,Dorsal Attention,True,Schaefer200
92,7Networks_RH_DorsAttn_5,Right,DorsAttn,Dorsal Attention,True,Schaefer200
93,7Networks_RH_DorsAttn_6,Right,DorsAttn,Dorsal Attention,True,Schaefer200
94,7Networks_RH_DorsAttn_7,Right,DorsAttn,Dorsal Attention,True,Schaefer200
95,7Networks_RH_DorsAttn_8,Right,DorsAttn,Dorsal Attention,True,Schaefer200
96,7Networks_RH_DorsAttn_9,Right,DorsAttn,Dorsal Attention,True,Schaefer200
97,7Networks_RH_DorsAttn_10,Right,DorsAttn,Dorsal Attention,True,Schaefer200
98,7Networks_RH_DorsAttn_11,Right,DorsAttn,Dorsal Attention,True,Schaefer200
99,7Networks_RH_DorsAttn_12,Right,DorsAttn,Dorsal Attention,True,Schaefer200
100,7Networks_LH_SalVentAttn_1,Left,SalVentAttn,Ventral Attention,True,Schaefer200
101,7Networks_LH_SalVentAttn_2,Left,SalVentAttn,Ventral Attention,True,Schaefer200
102,7Networks_LH_SalVentAttn_3,Left,SalVentAttn,Ventral Attention,True,Schaefer200
103,7Networks_LH_SalVentAttn_4,Left,SalVentAttn,Ventral Attention,True,Schaefer200
104,7Networks_LH_SalVentAttn_5,Left,SalVentAttn,Ventral Attention,True,Schaefer200
105,7Networks_LH_SalVentAttn_6,Left,SalVentAttn,Ventral Attention,True,Schaefer200
106,7Networks_LH_SalVentAttn_7,Left,SalVentAttn,Ventral Attention,True,Schaefer200
107,7Networks_LH_SalVentAttn_8,Left,SalVentAttn,Ventral Attention,True,Schaefer200
108,7Networks_LH_SalVentAttn_9,Left,SalVentAttn,Ventral Attention,True,Schaefer200
109,7Networks_LH_SalVentAttn_10,Left,SalVentAttn,Ventral Attention,True,Schaefer200
110,7Networks_LH_SalVentAttn_11,Left,SalVentAttn,Ventral Attention,True,Schaefer200
111,7Networks_LH_SalVentAttn_12,Left,SalVentAttn,Ventral Attention,True,Schaefer200
112,7Networks_LH_SalVentAttn_13,Left,SalVentAttn,Ventral Attention,True,Schaefer200
113,7Networks_LH_SalVentAttn_14,Left,SalVentAttn,Ventral Attention,True,Schaefer200
114,7Networks_RH_SalVentAttn_1,Right,SalVentAttn,Ventral Attention,True,Schaefer200
115,7Networks_RH_SalVentAttn_2,Right,SalVentAttn,Ventral Attention,True,Schaefer200
116,7Networks_RH_SalVentAttn_3,Right,SalVentAttn,Ventral Attention,True,Schaefer200
117,7Networks_RH_SalVentAttn_4,Right,SalVentAttn,Ventral Attention,True,Schaefer200
118,7Networks_RH_SalVentAttn_5,Right,SalVentAttn,Ventral Attention,True,Schaefer200
119,7Networks_RH_SalVentAttn_6,Right,SalVentAttn,Ventral Attention,True,Schaefer200
120,7Networks_RH_SalVentAttn_7,Right,SalVentAttn,Ventral Attention,True,Schaefer200
121,7Networks_RH_SalVentAttn_8,Right,SalVentAttn,Ventral Attention,True,Schaefer200
122,7Networks_RH_SalVentAttn_9,Right,SalVentAttn,Ventral Attention,True,Schaefer200
123,7Networks_RH_SalVentAttn_10,Right,SalVentAttn,Ventral Attention,True,Schaefer200
124,7Networks_RH_SalVentAttn_11,Right,SalVentAttn,Ventral Attention,True,Schaefer200
125,7Networks_RH_SalVentAttn_12,Right,SalVentAttn,Ventral Attention,True,Schaefer200
126,7Networks_RH_SalVentAttn_13,Right,SalVentAttn,Ventral Attention,True,Schaefer200
127,7Networks_RH_SalVentAttn_14,Right,SalVentAttn,Ventral Attention,True,Schaefer200
128,7Networks_LH_Limbic_1,Left,Limbic,Limbic,True,Schaefer200
129,7Networks_LH_Limbic_2,Left,Limbic,Limbic,True,Schaefer200
130,7Networks_LH_Limbic_3,Left,Limbic,Limbic,True,Schaefer200
131,7Networks_LH_Limbic_4,Left,Limbic,Limbic,True,Schaefer200
132,7Networks_LH_Limbic_5,Left,Limbic,Limbic,True,Schaefer200
133,7Networks_LH_Limbic_6,Left,Limbic,Limbic,True,Schaefer200
134,7Networks_RH_Limbic_1,Right,Limbic,Limbic,True,Schaefer200
135,7Networks_RH_Limbic_2,Right,Limbic,Limbic,True,Schaefer200
136,7Networks_RH_Limbic_3,Right,Limbic,Limbic,True,Schaefer200
137,7Networks_RH_Limbic_4,Right,Limbic,Limbic,True,Schaefer200
138,7Networks_RH_Limbic_5,Right,Limbic,Limbic,True,Schaefer200
139,7Networks_RH_Limbic_6,Right,Limbic,Limbic,True,Schaefer200
140,7Networks_LH_Cont_1,Left,Cont,Control,True,Schaefer200
141,7Networks_LH_Cont_2,Left,Cont,Control,True,Schaefer200
142,7Networks_LH_Cont_3,Left,Cont,Control,True,Schaefer200
143,7Networks_LH_Cont_4,Left,Cont,Control,True,Schaefer200
144,7Networks_LH_Cont_5,Left,Cont,Control,True,Schaefer200
145,7Networks_LH_Cont_6,Left,Cont,Control,True,Schaefer200
146,7Networks_LH_Cont_7,Left,Cont,Control,True,Schaefer200
147,7Networks_LH_Cont_8,Left,Cont,Control,True,Schaefer200
148,7Networks_LH_Cont_9,Left,Cont,Control,True,Schaefer200
149,7Networks_LH_Cont_10,Left,Cont,Control,True,Schaefer200
150,7Networks_LH_Cont_11,Left,Cont,Control,True,Schaefer200
151,7Networks_LH_Cont_12,Left,Cont,Control,True,Schaefer200
152,7Networks_LH_Cont_13,Left,Cont,Control,True,Schaefer200
153,7Networks_LH_Cont_14,Left,Cont,Control,True,Schaefer200
154,7Networks_LH_Cont_15,Left,Cont,Control,True,Schaefer200
155,7Networks_LH_Cont_16,Left,Cont,Control,True,Schaefer200
156,7Networks_RH_Cont_1,Right,Cont,Control,True,Schaefer200
157,7Networks_RH_Cont_2,Right,Cont,Control,True,Schaefer200
158,7Networks_RH_Cont_3,Right,Cont,Control,True,Schaefer200
159,7Networks_RH_Cont_4,Right,Cont,Control,True,Schaefer200
160,7Networks_RH_Cont_5,Right,Cont,Control,True,Schaefer200
161,7Networks_RH_Cont_6,Right,Cont,Control,True,Schaefer200
162,7Networks_RH_Cont_7,Right,Cont,Control,True,Schaefer200
163,7Networks_RH_Cont_8,Right,Cont,Control,True,Schaefer200
164,7Networks_RH_Cont_9,Right,Cont,Control,True,Schaefer200
165,7Networks_RH_Cont_10,Right,Cont,Control,True,Schaefer200
166,7Networks_RH_Cont_11,Right,Cont,Control,True,Schaefer200
167,7Networks_RH_Cont_12,Right,Cont,Control,True,Schaefer200
168,7Networks_RH_Cont_13,Right,Cont,Control,True,Schaefer200
169,7Networks_RH_Cont_14,Right,Cont,Control,True,Schaefer200
170,7Networks_RH_Cont_15,Right,Cont,Control,True,Schaefer200
171,7Networks_RH_Cont_16,Right,Cont,Control,True,Schaefer200
172,7Networks_LH_Default_1,Left,Default,Default Mode,True,Schaefer200
173,7Networks_LH_Default_2,Left,Default,Default Mode,True,Schaefer200
174,7Networks_LH_Default_3,Left,Default,Default Mode,True,Schaefer200
175,7Networks_LH_Default_4,Left,Default,Default Mode,True,Schaefer200
176,7Networks_LH_Default_5,Left,Default,Default Mode,True,Schaefer200
177,7Networks_LH_Default_6,Left,Default,Default Mode,True,Schaefer200
178,7Networks_LH_Default_7,Left,Default,Default Mode,True,Schaefer200
179,7Networks_LH_Default_8,Left,Default,Default Mode,True,Schaefer200
180,7Networks_LH_Default_9,Left,Default,Default Mode,True,Schaefer200
181,7Networks_LH_Default_10,Left,Default,Default Mode,True,Schaefer200
182,7Networks_LH_Default_11,Left,Default,Default Mode,True,Schaefer200
183,7Networks_LH_Default_12,Left,Default,Default Mode,True,Schaefer200
184,7Networks_LH_Default_13,Left,Default,Default Mode,True,Schaefer200
185,7Networks_LH_Default_14,Left,Default,Default Mode,True,Schaefer200
186,7Networks_RH_Default_1,Right,Default,Default Mode,True,Schaefer200
187,7Networks_RH_Default_2,Right,Default,Default Mode,True,Schaefer200
188,7Networks_RH_Default_3,Right,Default,Default Mode,True,Schaefer200
189,7Networks_RH_Default_4,Right,Default,Default Mode,True,Schaefer200
190,7Networks_RH_Default_5,Right,Default,Default Mode,True,Schaefer200
191,7Networks_RH_Default_6,Right,Default,Default Mode,True,Schaefer200
192,7Networks_RH_Default_7,Right,Default,Default Mode,True,Schaefer200
193,7Networks_RH_Default_8,Right,Default,Default Mode,True,Schaefer200
194,7Networks_RH_Default_9,Right,Default,Default Mode,True,Schaefer200
195,7Networks_RH_Default_10,Right,Default,Default Mode,True,Schaefer200
196,7Networks_RH_Default_11,Right,Default,Default Mode,True,Schaefer200
197,7Networks_RH_Default_12,Right,Default,Default Mode,True,Schaefer200
198,7Networks_RH_Default_13,Right,Default,Default Mode,True,Schaefer200
199,7Networks_RH_Default_14,Right,Default,Default Mode,True,Schaefer200
200,Tian_LH_Striatum_1,Left,Striatum,Subcortical,False,Tian
201,Tian_LH_Striatum_2,Left,Striatum,Subcortical,False,Tian
202,Tian_LH_Striatum_3,Left,Striatum,Subcortical,False,Tian
203,Tian_LH_Striatum_4,Left,Striatum,Subcortical,False,Tian
204,Tian_LH_Striatum_5,Left,Striatum,Subcortical,False,Tian
205,Tian_LH_Striatum_6,Left,Striatum,Subcortical,False,Tian
206,Tian_LH_Striatum_7,Left,Striatum,Subcortical,False,Tian
207,Tian_LH_Striatum_8,Left,Striatum,Subcortical,False,Tian
208,Tian_RH_Striatum_1,Right,Striatum,Subcortical,False,Tian
209,Tian_RH_Striatum_2,Right,Striatum,Subcortical,False,Tian
210,Tian_RH_Striatum_3,Right,Striatum,Subcortical,False,Tian
211,Tian_RH_Striatum_4,Right,Striatum,Subcortical,False,Tian
212,Tian_RH_Striatum_5,Right,Striatum,Subcortical,False,Tian
213,Tian_RH_Striatum_6,Right,Striatum,Subcortical,False,Tian
214,Tian_RH_Striatum_7,Right,Striatum,Subcortical,False,Tian
215,Tian_RH_Striatum_8,Right,Striatum,Subcortical,False,Tian
216,Tian_LH_Thalamus_1,Left,Thalamus,Subcortical,False,Tian
217,Tian_LH_Thalamus_2,Left,Thalamus,Subcortical,False,Tian
218,Tian_LH_Thalamus_3,Left,Thalamus,Subcortical,False,Tian
219,Tian_LH_Thalamus_4,Left,Thalamus,Subcortical,False,Tian
220,Tian_LH_Thalamus_5,Left,Thalamus,Subcortical,False,Tian
221,Tian_LH_Thalamus_6,Left,Thalamus,Subcortical,False,Tian
222,Tian_LH_Thalamus_7,Left,Thalamus,Subcortical,False,Tian
223,Tian_LH_Thalamus_8,Left,Thalamus,Subcortical,False,Tian
224,Tian_RH_Thalamus_1,Right,Thalamus,Subcortical,False,Tian
225,Tian_RH_Thalamus_2,Right,Thalamus,Subcortical,False,Tian
226,Tian_RH_Thalamus_3,Right,Thalamus,Subcortical,False,Tian
227,Tian_RH_Thalamus_4,Right,Thalamus,Subcortical,False,Tian
228,Tian_RH_Thalamus_5,Right,Thalamus,Subcortical,False,Tian
229,Tian_RH_Thalamus_6,Right,Thalamus,Subcortical,False,Tian
230,Tian_RH_Thalamus_7,Right,Thalamus,Subcortical,False,Tian
231,Tian_RH_Thalamus_8,Right,Thalamus,Subcortical,False,Tian
